image_name,car_brand,car_model,car_gen,car_body,car_colour,car_width_m,car_height_m
img_2672.heic,Lada,Series_2112,Old,Hatch,Dark-Grey,1.680,1.42
img_2673.heic,Lada,Series_2112,Old,Hatch,Dark-Grey,1.680,1.42
img_2675.heic,Lada,Series_2112,Old,Hatch,Dark-Grey,1.680,1.42
img_2676.heic,Lada,Series_2112,Old,Hatch,Dark-Grey,1.680,1.42
img_2678.heic,Lada,Series_2112,Old,Hatch,Dark-Grey,1.680,1.42
img_2680.heic,Lada,Series_2112,Old,Hatch,Dark-Grey,1.680,1.42
img_2681.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2682.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2683.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2685.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2687.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2688.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2690.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2691.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2694.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2695.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2696.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2699.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2700.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2701.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2705.heic,Nissan,Almera,Old,Sedan,Black,1.710,1.44
img_2709.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2710.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2714.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2721.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2722.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2723.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2724.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2726.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2727.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2729.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2730.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2733.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2734.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2735.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2737.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2738.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2740.heic,Kia,Rio,New,Hatch,Black,1.700,1.47
img_2743.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2744.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2745.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2746.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2747.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2748.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2749.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2751.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2754.heic,Audi,A6,New,Sedan,Black,1.874,1.455
img_2756.heic,Audi,A6,New,Sedan,Black,1.874,1.455
