image_name,date,camera_model,GPS_latitude,GPS_longitude,GPS_Altitude,GPS_Direction,exposure,aperture,iso,focus,zoom
img_2754.heic,2022:07:10 21:31:39,iPhone 12,54.307094444444445,48.361922222222226,101.19211576846307,71.02725225225225,1/25,2.4,1600,1.55,1.03279
img_2685.heic,2022:07:10 21:14:51,iPhone 12,54.30708333333333,48.36190833333333,101.19211576846307,318.8861236802413,1/25,2.4,1250,1.55,1.03279
img_2735.heic,2022:07:10 21:24:54,iPhone 12,54.30708333333333,48.361916666666666,101.19211576846307,315.6587374199451,1/13,2.4,1000,1.55,1.03279
img_2723.heic,2022:07:10 21:22:39,iPhone 12,54.307094444444445,48.36192777777778,101.19211576846307,303.41632088520055,1/25,2.4,2000,1.55,1.03279
img_2722.heic,2022:07:10 21:22:27,iPhone 12,54.30709722222222,48.36188888888889,101.19211576846307,304.3583678296866,1/25,2.4,2000,1.55,1.03279
img_2688.heic,2022:07:10 21:15:28,iPhone 12,54.307063888888884,48.361919444444446,101.19211576846307,311.8130795510005,1/25,2.4,1250,1.55,1.03279
img_2734.heic,2022:07:10 21:24:42,iPhone 12,54.30708333333333,48.361916666666666,101.19211576846307,317.38922119140625,1/13,2.4,1000,1.55,1.03279
img_2738.heic,2022:07:10 21:25:32,iPhone 12,54.30708611111111,48.36193333333333,101.19211576846307,317.3881223755249,1/10,2.4,800,1.55,1.03279
img_2714.heic,2022:07:10 21:20:49,iPhone 12,54.307091666666665,48.361922222222226,101.19211576846307,295.7594146761351,1/13,2.4,1000,1.55,1.03279
img_2743.heic,2022:07:10 21:27:03,iPhone 12,54.30705,48.361891666666665,101.19211576846307,105.37484548825711,1/25,2.4,2000,1.55,1.03279
img_2709.heic,2022:07:10 21:19:41,iPhone 12,54.307094444444445,48.36193055555556,101.19211576846307,295.158615136876,1/13,2.4,1000,1.55,1.03279
img_2748.heic,2022:07:10 21:28:17,iPhone 12,54.30710555555555,48.36188888888889,101.19211576846307,109.55246166263116,1/25,2.4,2000,1.55,1.03279
img_2676.heic,2022:07:10 21:12:51,iPhone 12,54.307024999999996,48.361875000000005,101.19211576846307,171.10430916552667,1/13,2.4,1000,1.55,1.03279
img_2699.heic,2022:07:10 21:17:28,iPhone 12,54.30708333333333,48.361916666666666,101.19211576846307,316.8172757475083,1/25,2.4,1250,1.55,1.03279
img_2733.heic,2022:07:10 21:24:33,iPhone 12,54.30708333333333,48.361916666666666,101.19211576846307,317.3364565587734,1/13,2.4,800,1.55,1.03279
img_2705.heic,2022:07:10 21:18:27,iPhone 12,54.30705555555555,48.361891666666665,101.19211576846307,296.46459948320415,1/25,2.4,1600,1.55,1.03279
img_2744.heic,2022:07:10 21:27:33,iPhone 12,54.30707222222222,48.361919444444446,101.19211576846307,106.40032197477865,1/25,2.4,2000,1.55,1.03279
img_2695.heic,2022:07:10 21:16:44,iPhone 12,54.30708055555555,48.361916666666666,101.19211576846307,320.10272213662046,1/13,2.4,800,1.55,1.03279
img_2683.heic,2022:07:10 21:14:32,iPhone 12,54.30706111111111,48.361869444444444,101.19211576846307,315.9432066404543,1/25,2.4,1250,1.55,1.03279
img_2729.heic,2022:07:10 21:23:48,iPhone 12,54.30710555555555,48.36187777777778,101.19211576846307,321.26158146964855,1/25,2.4,1600,1.55,1.03279
img_2682.heic,2022:07:10 21:14:02,iPhone 12,54.307094444444445,48.361922222222226,101.19212346993082,318.34234627126034,1/25,2.4,1250,1.55,1.03279
img_2694.heic,2022:07:10 21:16:31,iPhone 12,54.30708333333333,48.361919444444446,101.19211576846307,314.4727171492205,1/25,2.4,1250,1.55,1.03279
img_2745.heic,2022:07:10 21:27:44,iPhone 12,54.307024999999996,48.36188055555556,101.19211576846307,125.61495983935743,1/25,2.4,2000,1.55,1.03279
img_2724.heic,2022:07:10 21:22:51,iPhone 12,54.30712222222222,48.36190277777778,101.19211576846307,301.51992807911296,1/25,2.4,2000,1.55,1.03279
img_2749.heic,2022:07:10 21:28:25,iPhone 12,54.30710555555555,48.361961111111114,101.19211576846307,133.0962370962371,1/25,2.4,2000,1.55,1.03279
img_2727.heic,2022:07:10 21:23:31,iPhone 12,54.307091666666665,48.36187777777778,101.19211576846307,322.9924924924925,1/25,2.4,1600,1.55,1.03279
img_2681.heic,2022:07:10 21:13:53,iPhone 12,54.30704166666666,48.3619,101.19214639725506,316.4709167054444,1/25,2.4,1250,1.55,1.03279
img_2678.heic,2022:07:10 21:13:10,iPhone 12,54.30685555555555,48.361786111111115,101.86267543080476,176.13719943422913,1/13,2.4,1000,1.55,1.03279
img_2746.heic,2022:07:10 21:27:55,iPhone 12,54.30707222222222,48.36193333333333,101.19211576846307,131.35434717657603,1/25,2.4,2000,1.55,1.03279
img_2751.heic,2022:07:10 21:28:45,iPhone 12,54.30708333333333,48.361916666666666,101.19211576846307,118.73302469135803,1/25,2.4,1600,1.55,1.03279
img_2747.heic,2022:07:10 21:28:05,iPhone 12,54.307091666666665,48.361916666666666,101.19211576846307,131.0232009437672,1/25,2.4,2000,1.55,1.03279
img_2710.heic,2022:07:10 21:19:54,iPhone 12,54.30710277777777,48.36188055555556,101.19211576846307,295.2091827364555,1/13,2.4,1000,1.55,1.03279
img_2696.heic,2022:07:10 21:16:55,iPhone 12,54.30708055555555,48.361922222222226,101.19211576846307,318.1580047789725,1/13,2.4,1000,1.55,1.03279
img_2680.heic,2022:07:10 21:13:32,iPhone 12,54.30693333333333,48.36183611111111,101.20401757689893,168.86492922344226,1/13,2.4,1000,1.55,1.03279
img_2730.heic,2022:07:10 21:23:58,iPhone 12,54.307094444444445,48.36190833333333,101.19211576846307,317.90834021469857,1/25,2.4,2000,1.55,1.03279
img_2675.heic,2022:07:10 21:12:30,iPhone 12,54.30690277777777,48.36181388888889,101.19211576846307,166.85620880004288,1/13,2.4,1000,1.55,1.03279
img_2726.heic,2022:07:10 21:23:14,iPhone 12,54.30708055555555,48.361916666666666,101.19211576846307,317.99734513274336,1/25,2.4,1600,1.55,1.03279
img_2687.heic,2022:07:10 21:15:15,iPhone 12,54.30708333333333,48.36191111111111,101.19211576846307,312.6087798579729,1/25,2.4,1250,1.55,1.03279
img_2691.heic,2022:07:10 21:16:03,iPhone 12,54.30708333333333,48.361922222222226,101.19211576846307,319.6800382043935,1/25,2.4,1250,1.55,1.03279
img_2740.heic,2022:07:10 21:25:59,iPhone 12,54.307111111111105,48.36188611111111,101.19211576846307,316.06408706166866,1/8,2.4,1000,1.55,1.03279
img_2756.heic,2022:07:10 21:32:00,iPhone 12,54.30708611111111,48.361919444444446,101.19211576846307,13.420074462890625,1/25,2.4,1600,1.55,1.03279
img_2701.heic,2022:07:10 21:17:48,iPhone 12,54.30707222222222,48.36192777777778,101.19211576846307,317.23051470588234,1/25,2.4,1250,1.55,1.03279
img_2721.heic,2022:07:10 21:22:16,iPhone 12,54.30709722222222,48.36188611111111,101.19211576846307,299.6737668161435,1/25,2.4,2000,1.55,1.03279
img_2737.heic,2022:07:10 21:25:20,iPhone 12,54.307091666666665,48.36195277777778,101.19211576846307,314.98364231188657,1/13,2.4,1000,1.55,1.03279
img_2672.heic,2022:07:10 21:11:34,iPhone 12,54.30691944444444,48.36174444444445,101.19211576846307,326.51211525867717,1/13,2.4,1000,1.55,1.03279
img_2673.heic,2022:07:10 21:11:50,iPhone 12,54.30681111111111,48.36151944444445,101.19211576846307,169.99671951886276,1/13,2.4,1000,1.55,1.03279
img_2700.heic,2022:07:10 21:17:37,iPhone 12,54.30705277777778,48.3619,101.19211576846307,313.02455146364497,1/25,2.4,1250,1.55,1.03279
img_2690.heic,2022:07:10 21:15:52,iPhone 12,54.30704444444444,48.36187777777778,101.19211576846307,317.19308510638297,1/25,2.4,1250,1.55,1.03279
